airport_id,city,country_name,latitude,longitude
WTS,Tsiroanomandidy,Madagascar,-18.759677,46.054065
WAM,Ambatondrazaka,Madagascar,-17.795378,48.442583
WPB,Port Bergé,Madagascar,-15.584286,47.623587
DWB,Soalala,Madagascar,-16.10169,45.358837
WMP,Mampikony,Madagascar,-16.07226934,47.64416456
WMA,Mandritsara,Madagascar,-15.833049,48.833284
MJA,Manja,Madagascar,-21.426105,44.316509
CBT,Catumbela,Angola,-12.4792,13.4869
DUE,Dundo,Angola,-7.400889874,20.81850052
VPE,Ondjiva,Angola,-17.0435009,15.68379974
MSZ,Mocamedes,Angola,-15.26119995,12.14680004
KOU,Koulamoutou,Gabon,-1.184610009,12.44130039
MJL,Mouila,Gabon,-1.84513998,11.05669975
TCH,Tchibanga,Gabon,-2.849999905,11.0170002
VPY,Chimoio,Mozambique,-19.15130043,33.42900085
SRH,Sarh,Chad,9.14444,18.374399
CMK,Club Makokola,Malawi,-14.30690002,35.13249969
LUD,Luderitz,Namibia,-26.68740082,15.24289989
OND,Ondangwa,Namibia,-17.878201,15.9526
OMD,Oranjemund,Namibia,-28.5847,16.446699
SWP,Swakopmund,Namibia,-22.66189957,14.56809998
ERS,Windhoek,Namibia,-22.61219978,17.08040047
BOA,Boma,Congo (Kinshasa),-5.854000092,13.06400013
MAT,Matadi,Congo (Kinshasa),-5.799610138,13.44040012
INO,Inongo,Congo (Kinshasa),-1.947219968,18.28580093
NIO,Nioki,Congo (Kinshasa),-2.717499971,17.68470001
KRZ,Kiri,Congo (Kinshasa),-1.434999943,19.02400017
BSU,Basankusu,Congo (Kinshasa),1.224720001,19.78890038
TSH,Tshikapa,Congo (Kinshasa),-6.43833,20.794701
LJA,Lodja,Congo (Kinshasa),-3.417000055,23.45000076
PFR,Ilebo,Congo (Kinshasa),-4.329919,20.590124
OUK,Outer Skerries,United Kingdom,60.4252,-0.75
GMZ,La Gomera,Spain,28.02960014,-17.21459961
BTE,Bonthe,Sierra Leone,7.532420158,-12.51889992
KBS,Bo,Sierra Leone,7.944399834,-11.76099968
KEN,Kenema,Sierra Leone,7.891290188,-11.17660046
OXB,Bissau,Guinea-Bissau,11.89480019,-15.65369987
SMW,Smara,Western Sahara,26.7318,-11.6847
VIL,Dakhla,Western Sahara,23.7183,-15.932
ESU,Essadouira,Morocco,31.39749908,-9.681670189
EUN,El Aaiún,Western Sahara,27.151699,-13.2192
NDR,El Aroui,Morocco,34.98880005,-3.028209925
RAI,"Praia, Santiago Island",Cape Verde,14.92450047,-23.49349976
SFL,"Sao Filipe, Fogo Island",Cape Verde,14.88500023,-24.47999954
BCO,Baco,Ethiopia,5.78287,36.562
BEI,Beica,Ethiopia,9.386389732,34.52190018
DSE,Dessie,Ethiopia,11.08250046,39.71139908
DEM,Dembidollo,Ethiopia,8.553999901,34.85800171
GDE,Gode,Ethiopia,5.935130119,43.57860184
GOR,Gore,Ethiopia,8.1614,35.5529
ABK,Kabri Dehar,Ethiopia,6.734,44.252998
MTF,Mizan Teferi,Ethiopia,6.9571,35.5547
TIE,Tippi,Ethiopia,7.2024,35.415
ALU,Alula,Somalia,11.9582,50.748
BSA,Bosaso,Somalia,11.27530003,49.1493988
MGQ,Mogadishu,Somalia,2.01444006,45.30469894
GLK,Galcaio,Somalia,6.780829906,47.45470047
BUO,Burao,Somalia,9.5275,45.5549
AAC,El Arish,Egypt,31.07329941,33.83580017
ATZ,Asyut,Egypt,27.04649925,31.01199913
ASV,Amboseli National Park,Kenya,-2.645050049,37.25310135
LKG,Lokichoggio,Kenya,4.204120159,34.34820175
MYD,Malindi,Kenya,-3.229310036,40.10169983
NYK,Nanyuki,Kenya,-0.06239889935,37.041008
SRX,Sirt,Libya,31.06349945,16.59499931
TOB,Tobruk,Libya,31.861,23.907
MJI,Tripoli,Libya,32.89410019,13.27600002
LAQ,Al Bayda',Libya,32.7887001,21.96430016
ATB,Atbara,Sudan,17.71034431,34.05701828
UYL,Nyala,Sudan,12.05350018,24.95619965
PZU,Port Sudan,Sudan,19.43359947,37.23410034
BKZ,Bukoba,Tanzania,-1.332,31.8212
TKQ,Kigoma,Tanzania,-4.8862,29.6709
LDI,Lindi,Tanzania,-9.85111,39.757801
MUZ,Musoma,Tanzania,-1.503,33.8021
SHY,Shinyanga,Tanzania,-3.6093,33.5035
TBO,Tabora,Tanzania,-5.07638979,32.83330154
RUA,Arua,Uganda,3.049999952,30.91699982
ULU,Gulu,Uganda,2.805560112,32.27180099
DIU,Diu,India,20.71310043,70.9210968
ABR,Aberdeen,United States,45.44910049,-98.42179871
ABY,Albany,United States,31.53549957,-84.19450378
AHN,Athens,United States,33.94860077,-83.32630157
ALM,Alamogordo,United States,32.83990097,-105.9909973
ALO,Waterloo,United States,42.55709839,-92.40029907
ALW,Walla Walla,United States,46.09489822,-118.288002
APN,Alpena,United States,45.0780983,-83.56030273
ATY,Watertown,United States,44.91400146,-97.15470123
BFD,Bradford,United States,41.80310059,-78.64009857
BFF,Scottsbluff,United States,41.87400055,-103.5960007
BKW,Beckley,United States,37.78730011,-81.12419891
BQK,Brunswick,United States,31.25880051,-81.46649933
BRL,Burlington,United States,40.78319931,-91.12550354
CEC,Crescent City,United States,41.78020096,-124.2369995
CGI,Cape Girardeau,United States,37.22529984,-89.57080078
CIU,Sault Ste Marie,United States,46.25080109,-84.47239685
CKB,Clarksburg,United States,39.29660034,-80.22810364
CLM,Port Angeles,United States,48.12020111,-123.5
CMX,Hancock,United States,47.16839981,-88.4890976
DDC,Dodge City,United States,37.76340103,-99.96559906
DUJ,Du Bois,United States,41.17829895,-78.8986969
EAU,Eau Claire,United States,44.86579895,-91.48429871
EKO,Elko,United States,40.82490158,-115.7919998
EWB,New Bedford,United States,41.67610168,-70.95690155
FAY,Fayetteville,United States,34.99119949,-78.88030243
GGW,Glasgow,United States,48.212502,-106.614998
GRI,Grand Island,United States,40.96749878,-98.30960083
HOT,Hot Springs,United States,34.47800064,-93.09619904
HTS,Huntington,United States,38.36669922,-82.55799866
KIO,Kili Island,Marshall Islands,5.644515,169.119507
IRK,Kirksville,United States,40.09349823,-92.54489899
JMS,Jamestown,United States,46.92969894,-98.67819977
LAR,Laramie,United States,41.31209946,-105.6750031
LBE,Latrobe,United States,40.27590179,-79.40480042
LBF,North Platte,United States,41.12620163,-100.6839981
LEB,Lebanon,United States,43.62609863,-72.30419922
LMT,Klamath Falls,United States,42.156101,-121.733002
LNS,Lancaster,United States,40.12170029,-76.2960968
LWT,Lewistown,United States,47.04930115,-109.4670029
LYH,Lynchburg,United States,37.3266983,-79.20040131
MKG,Muskegon,United States,43.16949844,-86.23819733
MLS,Miles City,United States,46.4280014,-105.8860016
MSL,Muscle Shoals,United States,34.74530029,-87.61019897
OTH,North Bend,United States,43.417099,-124.2460022
OWB,Owensboro,United States,37.74010086,-87.16680145
PIB,Hattiesburg/Laurel,United States,31.46710014,-89.33709717
PIH,Pocatello,United States,42.90980148,-112.5960007
PIR,Pierre,United States,44.38270187,-100.2860031
PLN,Pellston,United States,45.57089996,-84.79669952
PSM,Portsmouth,United States,43.07789993,-70.82330322
RDG,Reading,United States,40.37850189,-75.96520233
RHI,Rhinelander,United States,45.63119888,-89.46749878
RKS,Rock Springs,United States,41.5942,-109.065001
RUT,Rutland,United States,43.52939987,-72.94960022
SBP,San Luis Obispo,United States,35.23680115,-120.6419983
SHR,Sheridan,United States,44.76919937,-106.9800034
SLK,Saranac Lake,United States,44.38529968,-74.20619965
SLN,Salina,United States,38.79100037,-97.65219879
SMX,Santa Maria,United States,34.89889908,-120.4570007
TUP,Tupelo,United States,34.26810074,-88.76989746
UIN,Quincy,United States,39.94269943,-91.19460297
VCT,Victoria,United States,28.8526001,-96.91850281
VLD,Valdosta,United States,30.78249931,-83.27670288
WRL,Worland,United States,43.96569824,-107.9509964
YKM,Yakima,United States,46.56819916,-120.5439987
ECN,Nicosia,Cyprus,35.15470123,33.49610138
RJL,Logroño-Agoncillo,Spain,42.46095349,-2.322235107
IDY,Île d'Yeu,France,46.71860123,-2.391109943
ANE,Angers/Marcé,France,47.560299,-0.312222
LTT,La Môle,France,43.205399,6.482
