idx,from_airport_id,to_airport_id,aircraft_id
307,LOS,ROB,319
308,OXB,CKY,319
309,OXB,DKR,319
310,ROB,ACC,319
311,ROB,FNA,319
312,ROB,LOS,319
313,AKV,YIK,DH8
314,AKV,YPX,DH8
315,XGR,YVP,DHT
316,YGL,YGW,DHT
317,YGL,YPX,73M
318,YGL,YUL,73M
319,YGW,YGL,DHT
320,YGW,YPH,BET
321,YGW,YSK,DH8
322,YGW,YUD,DH8
323,YGW,YUL,DH8
324,YGW,YUY,DH8
325,YIK,AKV,DH8
326,YIK,YZG,DH8
327,YKG,YPJ,DHT
328,YKG,YQC,DH8
329,YKG,YVP,DH8
330,YKL,YQB,DH8
331,YKL,YVP,DH8
332,YKL,YWK,BET
333,YKL,YZV,BET
334,YPH,YPX,DH8
335,YPH,YUD,DH8
336,YPH,YVP,BET
337,YPJ,YKG,DHT
338,YPJ,YTQ,DHT
339,YPJ,YVP,DHT
340,YPX,AKV,DH8
341,YPX,YGL,73M
342,YPX,YPH,DH8
343,YPX,YVP,BET
344,YQB,YKL,DH8
345,YQB,YUL,DH8
346,YQC,YKG,DH8
347,YQC,YWB,DH8
348,YSK,YGW,DH8
349,YSK,YUD,DH8
350,YTQ,YPJ,DHT
351,YTQ,YVP,DHT
352,YUD,YGW,DH8
353,YUD,YPH,DH8
354,YUD,YSK,DH8
355,YUL,YGL,73M
356,YUL,YGW,DH8
357,YUL,YQB,DH8
358,YUL,YUY,DH8
359,YUY,YGW,DH8
360,YUY,YUL,DH8
361,YVP,XGR,DHT
362,YVP,YGW,BET
363,YVP,YKG,DH8
364,YVP,YKL,DH8
365,YVP,YPH,BET
366,YVP,YPJ,DHT
367,YVP,YPX,BET
368,YVP,YTQ,DHT
369,YWB,YQC,DH8
370,YWB,YZG,DH8
371,YWK,YKL,BET
372,YWK,YZV,BET
373,YZG,YIK,DH8
374,YZG,YWB,DH8
375,YZV,YKL,BET
376,YZV,YWK,BET
377,JIB,DXB,737
378,JIB,JED,737
379,JIB,MGQ,737
380,MGQ,NBO,737
381,NBO,MGQ,737
382,BKK,SIN,320
383,DRW,SIN,320
384,HAK,SIN,320
385,HGH,SIN,320
386,HKG,SIN,320
387,HKT,SIN,320
388,KIX,MNL,320
389,KIX,TPE,320
390,KUL,SIN,320
391,MNL,KIX,320
392,MNL,SIN,320
393,PEN,SIN,320
394,PER,SIN,320
395,PNH,SIN,320
396,REP,SIN,320
397,RGN,SIN,320
398,SGN,SIN,320
399,SIN,BKK,320
400,SIN,DRW,320
401,SIN,HAK,320
402,SIN,HGH,320
403,SIN,HKG,320
404,SIN,HKT,320
405,SIN,KUL,320
406,SIN,MNL,320
407,SIN,PEN,320
408,SIN,PER,320
409,SIN,PNH,320
410,SIN,REP,320
411,SIN,RGN,320
412,SIN,SGN,320
413,SIN,SWA,320
414,SIN,TPE,320
415,SWA,SIN,320
416,TPE,KIX,320
417,TPE,SIN,320
418,ACH,EBA,DH3
419,DRS,ZRH,DH3
420,DUS,FDH,DH3
421,EBA,ACH,DH3
422,EBA,FDH,DH3
423,EBA,MUC,DH3
424,EBA,ZRH,DH3
425,FDH,DUS,DH3
426,FDH,EBA,DH3
427,FDH,HAM,AT7
428,FDH,OLB,AT7
429,FDH,TXL,AT7
430,FDH,ZAD,AT7
431,FMM,NAP,AT7
432,GRZ,ZRH,DH3
433,HAM,FDH,AT7
434,MUC,EBA,DH3
435,NAP,FMM,AT7
436,OLB,FDH,AT7
437,SZG,ZRH,DH3
438,TXL,FDH,AT7
439,ZAD,FDH,AT7
440,ZRH,DRS,DH3
441,ZRH,EBA,DH3
442,ZRH,GRZ,DH3
443,ZRH,SZG,DH3
444,ATL,LWB,SF3
445,ATL,MCN,SF3
446,ATL,MEI,SF3
447,ATL,MSL,SF3
448,ATL,PIB,SF3
449,ATL,TUP,SF3
450,BIM,FLL,SF3
451,ELH,FLL,SF3
452,ELH,PBI,SF3
453,EYW,FLL,SF3
454,EYW,RSW,SF3
455,EYW,TPA,SF3
456,FLL,BIM,SF3
457,FLL,ELH,SF3
458,FLL,EYW,SF3
459,FLL,FPO,SF3
460,FLL,GGT,SF3
461,FLL,GHB,SF3
462,FLL,MCO,SF3
463,FLL,MHH,SF3
464,FLL,TCB,SF3
465,FLL,TPA,SF3
466,FPO,FLL,SF3
467,GGT,FLL,SF3
468,GGT,GHB,SF3
469,GHB,FLL,SF3
470,GLH,TUP,SF3
471,GNV,MCO,SF3
472,GNV,TPA,SF3
473,JAX,MHH,SF3
474,JAX,TPA,SF3
475,LWB,ATL,SF3
476,MCN,ATL,SF3
477,MCN,MCO,SF3
478,MCO,FLL,SF3
479,MCO,GNV,SF3
480,MCO,MCN,SF3
481,MCO,MHH,SF3
482,MCO,PNS,SF3
